path,avg_anomaly_score,times_flagged_out_of_seeds,sub_category,details
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient53493/study2/view1_frontal.jpg,-0.18873655112771967,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.8%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient16606/study3/view1_frontal.jpg,-0.18827895516471457,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.8%, Black: 6.3%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient45922/study3/view1_frontal.jpg,-0.18816192307870505,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.7%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient30337/study28/view1_frontal.jpg,-0.18811083016531335,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 17.5%, Black: 0.3%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient29037/study6/view1_frontal.jpg,-0.1881007164291537,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.6%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient64437/study1/view1_frontal.jpg,-0.1880788155644369,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.5%, Black: 5.6%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient56384/study1/view1_frontal.jpg,-0.18802206666017288,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 22.8%, Black: 4.0%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient25858/study2/view1_frontal.jpg,-0.18798217041494306,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 12.0%, Black: 4.6%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient49035/study1/view2_frontal.jpg,-0.1876284066569757,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 9.0%, Black: 5.5%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient55720/study2/view1_frontal.jpg,-0.18756552052974657,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.3%, Black: 5.4%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient12115/study13/view1_frontal.jpg,-0.18754520475895822,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.5%, Black: 5.5%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient24945/study1/view1_frontal.jpg,-0.18749430944963938,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.0%, Black: 5.6%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient43440/study3/view1_frontal.jpg,-0.18733988083903394,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 15.5%, Black: 4.7%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient30337/study14/view1_frontal.jpg,-0.18731586740995068,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.7%, Black: 5.7%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient22204/study2/view1_frontal.jpg,-0.18724946556693742,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.5%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient16391/study5/view1_frontal.jpg,-0.18716163203810046,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 9.5%, Black: 5.5%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient09739/study3/view1_frontal.jpg,-0.18715926327304527,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.3%, Black: 5.4%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient09888/study6/view1_frontal.jpg,-0.1871307306777841,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.6%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient24656/study2/view3_lateral.jpg,-0.18709592015943252,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 12.7%, Black: 18.2%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient44891/study2/view1_frontal.jpg,-0.18702807767638566,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.8%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient28378/study1/view1_frontal.jpg,-0.1869499795352749,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 6.1%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient23090/study2/view1_frontal.jpg,-0.186949902001064,14,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.4%, Black: 6.2%)"
