path,avg_anomaly_score,times_flagged_out_of_seeds,sub_category,details
/work/1mxray/Xray/datasets/Padchest/216840111366964012373310883942009138150550796_00-038-047.png,-0.15112660147292967,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 0.9%, Black: 4.7%)"
/work/1mxray/Xray/datasets/Padchest/216840111366964012373310883942009126154745038_00-041-127.png,-0.1506173524398534,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 1.2%, Black: 3.9%)"
/work/1mxray/Xray/datasets/Padchest/216840111366964012373310883942009119124743389_00-068-073.png,-0.15031606867025804,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 0.9%, Black: 3.0%)"
/work/1mxray/Xray/datasets/Padchest/216840111366964012339356563862009058131230951_00-054-093.png,-0.14779390154381677,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 0.4%, Black: 6.4%)"
/work/1mxray/Xray/datasets/Padchest/216840111366964012487858717522009245133113535_00-022-104.png,-0.14722175101141943,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 1.3%, Black: 4.4%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient25886/study4/view2_frontal.jpg,-0.1450833398112774,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.1%, Black: 5.4%)"
/work/1mxray/Xray/datasets/ChestXpert/CheXpert-v1.0/train/patient28798/study6/view2_frontal.jpg,-0.1448700691513607,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 8.2%, Black: 5.6%)"
/work/1mxray/Image_truncated_hard_crops_review/work_1mxray_Xray_datasets_Padchest_216840111366964013076187734852011178092514048_01-013-091.png_CROPPED.jpg,-0.14337557772948006,1,CORRUPTED_OR_MISSING,File not found
/work/1mxray/Image_truncated_hard_crops_review/work_1mxray_Xray_datasets_Padchest_216840111366964012558082906712009355091433568_00-091-151.png_CROPPED.jpg,-0.14337557772948006,1,CORRUPTED_OR_MISSING,File not found
/work/1mxray/Xray/datasets/Padchest/216840111366964013076187734852011188112229955_00-140-060.png,-0.14311828930966664,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 0.4%, Black: 3.0%)"
/work/1mxray/Xray/datasets/Padchest/216840111366964012487858717522009257101744908_00-025-019.png,-0.14249849367788048,1,STRUCTURAL_CUT_ANOMALY,"Cut/Outlier (White: 0.9%, Black: 8.5%)"
